Haplogroup,Score_Africa,Score_Central_Asia,Score_Southeast_Asia
L1b1a5,0.000000,0.000000,0.000000
L1b1a6,0.000000,0.000000,0.000000
L1b1a7,0.000000,0.000000,0.000000
L1b1a9,0.000000,0.000000,0.000000
L1b2a,0.000000,0.000000,0.000000
L1c1,1.000000,0.000000,0.000000
L1c1a1a1a,0.000000,0.000000,0.000000
L1c1a1a1b,0.000000,0.000000,0.000000
L1c1a1a1b1,0.000000,0.000000,0.000000
L1c1a2a1,0.000000,0.000000,0.000000
L1c1a2a2,0.000000,0.000000,0.000000
L1c1a2b,0.000000,0.000000,0.000000
L1c1d,1.000000,0.000000,0.000000
L1c2a1a,0.000000,0.000000,0.000000
L1c2a2,0.000000,0.000000,0.000000
L1c2a3a,0.000000,0.000000,0.000000
L1c2b1a'b,0.000000,0.000000,0.000000
L1c2b1b,0.000000,0.000000,0.000000
L1c2b2,0.000000,0.000000,0.000000
L1c3,1.000000,0.000000,0.000000
L1c3a,0.000000,0.000000,0.000000
L1c3a1a,0.000000,0.000000,0.000000
L1c3a1b,0.000000,0.000000,0.000000
L1c3b1a,0.000000,0.000000,0.000000
L1c3c,0.000000,0.000000,0.000000
L1c4b,0.000000,0.000000,0.000000
L1c5,0.000000,0.000000,0.000000
L2a1+143,0.000000,0.000000,0.000000
L2a1+143+16189  (16192),0.000000,0.000000,0.000000
L2a1+143+@16309,1.000000,0.000000,0.000000
L2a1a,0.000000,0.000000,0.000000
L2a1a1,0.000000,0.000000,0.000000
L2a1a2,0.000000,0.000000,0.000000
L2a1a2a1a,0.000000,0.000000,0.000000
L2a1a2b,0.000000,0.000000,0.000000
L2a1a2c,0.000000,0.000000,0.000000
L2a1a3a,0.000000,0.000000,0.000000
L2a1a3c,0.000000,0.000000,0.000000
L2a1b1a,0.000000,0.000000,0.000000
L2a1c,0.000000,0.000000,0.000000
L2a1c1,0.000000,0.000000,0.000000
L2a1c2,0.000000,0.000000,0.000000
L2a1c3a,0.000000,0.000000,0.000000
L2a1c3b1,0.000000,0.000000,0.000000
L2a1c3b2,0.000000,0.000000,0.000000
L2a1c4a,0.000000,0.000000,0.000000
L2a1c5,0.000000,0.000000,0.000000
L2a1d1,0.000000,0.000000,0.000000
L2a1f,0.000000,0.000000,0.000000
L2a1f1,0.000000,0.000000,0.000000
L2a1f2,0.000000,0.000000,0.000000
L2a1f3,0.000000,0.000000,0.000000
L2a1g,0.000000,0.000000,0.000000
L2a1h,0.000000,0.000000,0.000000
L2a1i1,0.000000,0.000000,0.000000
L2a1l2,0.000000,0.000000,0.000000
L2a1m,0.000000,0.000000,0.000000
L2a2a1,0.000000,0.000000,0.000000
