Haplogroup	Frequency_Africa	Frequency_non_Africa	Total_Africa	Total_non_Africa
L3d1d	0.000297	0.000040	3363	50111
L3d2b	0.000595	0.000040	3363	50111
L3d3a1	0.000595	0.000020	3363	50111
L3d3a1a	0.000297	0.000080	3363	50111
L3d3b	0.000595	0.000040	3363	50111
L3d4	0.000892	0.000020	3363	50111
L3d5a	0.000297	0.000020	3363	50111
L3e1	0.002379	0.000060	3363	50111
L3e1a1a	0.007731	0.000040	3363	50111
L3e1a3a	0.019328	0.000040	3363	50111
L3e1b1	0.000595	0.000080	3363	50111
L3e1b2	0.002379	0.000040	3363	50111
L3e1c	0.000297	0.000040	3363	50111
L3e1d1	0.004460	0.000040	3363	50111
L3e1e	0.000892	0.000020	3363	50111
L3e1e1	0.001487	0.000040	3363	50111
L3e1f1	0.000297	0.000020	3363	50111
L3e1g	0.000595	0.000040	3363	50111
L3e2a	0.000297	0.000020	3363	50111
L3e2a1b	0.000297	0.000060	3363	50111
L3e2a1b1	0.000297	0.000040	3363	50111
L3e2a1b2	0.000892	0.000040	3363	50111
L3e2a2	0.000297	0.000040	3363	50111
L3e2b	0.003866	0.000060	3363	50111
L3e2b+152	0.003271	0.000040	3363	50111
L3e2b1	0.000297	0.000020	3363	50111
L3e2b1a2	0.001784	0.000040	3363	50111
L3e2b3	0.000595	0.000040	3363	50111
L3e2b7	0.000297	0.000040	3363	50111
L3e3a	0.021409	0.000120	3363	50111
L3e3b	0.001189	0.000040	3363	50111
L3e3b1	0.012489	0.000040	3363	50111
L3e3b2	0.000892	0.000040	3363	50111
L3e4	0.000595	0.000020	3363	50111
L3e4a1	0.000595	0.000040	3363	50111
L3e5	0.000297	0.000040	3363	50111
L3e5b	0.000297	0.000040	3363	50111
L3e5d	0.000297	0.000040	3363	50111
L3f	0.000595	0.000080	3363	50111
L3f1b	0.000595	0.000000	3363	50111
L3f1b+16292+150	0.000595	0.000000	3363	50111
L3f1b1	0.000297	0.000020	3363	50111
L3f1b1a	0.000595	0.000040	3363	50111
L3f1b1a1	0.000297	0.000040	3363	50111
L3f1b4a	0.001189	0.000020	3363	50111
L3f1b4a1	0.003568	0.000040	3363	50111
L3f1b4b	0.000297	0.000020	3363	50111
L3f1b4c	0.000595	0.000040	3363	50111
L3f2a1	0.000297	0.000020	3363	50111
L3f3	0.000595	0.000040	3363	50111
L3f3b	0.000297	0.000040	3363	50111
L3h1a1	0.000297	0.000020	3363	50111
L3h1a2	0.000297	0.000000	3363	50111
L3h1b1a	0.000595	0.000080	3363	50111
L3k1	0.003271	0.000060	3363	50111
L3x1a2	0.000297	0.000040	3363	50111
L4b1a	0.002676	0.000040	3363	50111
L4b2a	0.000595	0.000000	3363	50111
L4b2a1	0.002081	0.000060	3363	50111
L4b2b	0.000297	0.000000	3363	50111
L5a1	0.000297	0.000000	3363	50111
L5a1c	0.000297	0.000020	3363	50111
M1a1b1	0.000297	0.000040	3363	50111
M1a1b2	0.000297	0.000040	3363	50111
M1a1i	0.000297	0.000040	3363	50111
M1a2	0.000297	0.000040	3363	50111
M1a3b	0.000297	0.000020	3363	50111
M1a3b2	0.000297	0.000040	3363	50111
M1a6	0.000297	0.000060	3363	50111
M1b1	0.000297	0.000040	3363	50111
M1b1a	0.000892	0.000060	3363	50111
M1b2	0.000297	0.000040	3363	50111
M20	0.000892	0.001956	3363	50111
M23	0.065120	0.000100	3363	50111
M32c	0.044008	0.000040	3363	50111
M7c1	0.000297	0.002674	3363	50111
M7c1c3	0.094261	0.002554	3363	50111
M9	0.000297	0.001277	3363	50111
N1a1a3	0.000297	0.000160	3363	50111
N1a3a	0.000297	0.000419	3363	50111
N1b1a	0.000595	0.000279	3363	50111
Q1d	0.001487	0.000080	3363	50111
R0a1	0.000297	0.000020	3363	50111
R0a1+152	0.000297	0.000040	3363	50111
R0a1a	0.001487	0.000200	3363	50111
R0a2	0.000297	0.000080	3363	50111
R0a2a	0.000297	0.000040	3363	50111
R0a2a1	0.000297	0.000040	3363	50111
R0a2c	0.000297	0.000040	3363	50111
R0a2k	0.000297	0.000040	3363	50111
T1a	0.000297	0.000639	3363	50111
T1a6	0.000297	0.000040	3363	50111
T2+16189	0.000297	0.000080	3363	50111
T2a1a	0.000595	0.000120	3363	50111
T2a2	0.000297	0.000080	3363	50111
T2b	0.000595	0.000659	3363	50111
T2b3+151	0.000297	0.000200	3363	50111
T2b32	0.000595	0.000040	3363	50111
T2b4+152	0.000297	0.000140	3363	50111
T2b7a3	0.000297	0.000020	3363	50111
T2c1+146	0.000892	0.000040	3363	50111
T2c1a2	0.000297	0.000040	3363	50111
T2c1c1	0.000297	0.000040	3363	50111
T2d1b2	0.000297	0.000040	3363	50111
T2e	0.000297	0.000519	3363	50111
T2g1a	0.000297	0.000180	3363	50111
U1a1a+16129	0.000297	0.000020	3363	50111
U1a1c1d	0.000297	0.000120	3363	50111
U1a3	0.000297	0.000080	3363	50111
U2d	0.000297	0.000000	3363	50111
U2e1a1	0.000297	0.000339	3363	50111
U3a	0.001189	0.000080	3363	50111
U3a1	0.000595	0.000160	3363	50111
U3a3	0.000297	0.000080	3363	50111
U3b	0.000595	0.000160	3363	50111
U4a2d	0.000297	0.000040	3363	50111
U5a1c	0.000595	0.000000	3363	50111
U5a2a	0.000297	0.000040	3363	50111
U5a2b	0.000297	0.000239	3363	50111
U5a2c1	0.000297	0.000060	3363	50111
U5b1b1b	0.000297	0.000040	3363	50111
U5b1e	0.000297	0.000040	3363	50111
U5b2a1a1	0.000297	0.000040	3363	50111
U5b2b3	0.000297	0.000020	3363	50111
U6a1a1	0.001784	0.000040	3363	50111
U6a3b1	0.000297	0.000040	3363	50111
U6a3e	0.000297	0.000040	3363	50111
U6a5a	0.000297	0.000020	3363	50111
U6a5c	0.000595	0.000040	3363	50111
U6a6b2	0.000297	0.000040	3363	50111
U6a7a1b	0.000297	0.000040	3363	50111
U6a7a2	0.000297	0.000020	3363	50111
U6a7b1	0.000297	0.000040	3363	50111
U6b	0.000297	0.000040	3363	50111
U6d2	0.000297	0.000040	3363	50111
U6d3a	0.000297	0.000020	3363	50111
U7a2a	0.000297	0.000080	3363	50111
U7a4	0.000297	0.000120	3363	50111
U8b1a1	0.000297	0.000160	3363	50111
U8b1a2a	0.000297	0.000040	3363	50111
U8b1a2b	0.000892	0.000060	3363	50111
V	0.000595	0.001277	3363	50111
V+@72	0.000297	0.000180	3363	50111
V25	0.001189	0.000220	3363	50111
W+194	0.000297	0.000100	3363	50111
W1c1	0.000297	0.000040	3363	50111
W3a1	0.000297	0.000259	3363	50111
W4	0.000297	0.000419	3363	50111
X2+225	0.000297	0.000180	3363	50111
X2+225+@16223	0.000297	0.000040	3363	50111
X2i+@225	0.000297	0.000100	3363	50111
X3a	0.000595	0.000080	3363	50111
