Haplogroup	Frequency_Southeast_Asia	Frequency_non_Southeast_Asia	Total_Southeast_Asia	Total_non_Southeast_Asia
I1b	0.000150	0.000256	6649	46825
I1e	0.000150	0.000043	6649	46825
K1a4	0.000150	0.000171	6649	46825
K1a5a	0.000301	0.000128	6649	46825
L3b1a+@16124	0.000150	0.000128	6649	46825
L3c	0.000752	0.000043	6649	46825
L3f	0.000301	0.000085	6649	46825
L3h1	0.000602	0.000000	6649	46825
M	0.004662	0.000192	6649	46825
M1'20'51	0.002106	0.000021	6649	46825
M10	0.000902	0.000427	6649	46825
M10a	0.000150	0.000085	6649	46825
M10a1	0.000301	0.001111	6649	46825
M10a1+16129	0.001354	0.000085	6649	46825
M10a1a	0.000451	0.001602	6649	46825
M10a1a1	0.000150	0.000235	6649	46825
M10a1a1b	0.000301	0.001196	6649	46825
M10a1a1b1	0.000451	0.001132	6649	46825
M10a1b	0.000902	0.001901	6649	46825
M11a	0.000301	0.000790	6649	46825
M11a2	0.000150	0.000662	6649	46825
M12	0.000301	0.000000	6649	46825
M12a1	0.000150	0.000000	6649	46825
M12a1a	0.004362	0.000192	6649	46825
M12a1a1	0.000602	0.000918	6649	46825
M12a1a2	0.000150	0.000192	6649	46825
M12a1b	0.001805	0.000342	6649	46825
M12a2	0.001203	0.000021	6649	46825
M12b	0.002256	0.000000	6649	46825
M12b1a	0.000301	0.000000	6649	46825
M12b1a2	0.011280	0.000000	6649	46825
M12b1a2a	0.001955	0.000000	6649	46825
M12b1a2b	0.002406	0.000000	6649	46825
M12b1b	0.003309	0.000000	6649	46825
M12b2	0.000451	0.000021	6649	46825
M12b2a	0.003008	0.000000	6649	46825
M13	0.000150	0.000021	6649	46825
M13'46'61+16362	0.000150	0.000214	6649	46825
M13a1b	0.000150	0.000683	6649	46825
M13a2	0.000602	0.000683	6649	46825
M13b1	0.000602	0.000043	6649	46825
M13c	0.005565	0.000021	6649	46825
M17a	0.003008	0.000021	6649	46825
M17c	0.001955	0.000021	6649	46825
M17c1a	0.000301	0.000021	6649	46825
M17c1a1	0.000902	0.000021	6649	46825
M17c1a1a	0.001805	0.000021	6649	46825
M18'38	0.001203	0.000021	6649	46825
M18c	0.000301	0.000021	6649	46825
M19	0.000451	0.000021	6649	46825
M2	0.000150	0.000000	6649	46825
M20	0.013686	0.000214	6649	46825
M21a	0.001955	0.000043	6649	46825
M21b	0.004662	0.000043	6649	46825
M21b+210	0.000301	0.000000	6649	46825
M21b1	0.000150	0.000000	6649	46825
M21b1a	0.000451	0.000085	6649	46825
